"State","County","Hospital Type","Hospital","Licensed Beds","Staffed Beds","ICU Beds","Bed Utilization"
"Texas","Harris","Short Term Acute Care Hospital","Houston Methodist Baytown Hospital (FKA Houston Methodist San Jacinto Hospital)",230,215,24,0.8166
"Washington","Clark","Short Term Acute Care Hospital","Legacy Salmon Creek Medical Center",220,166,16,0.8164
"Colorado","Adams","Short Term Acute Care Hospital","UCHealth University of Colorado Hospital",698,667,144,0.8163
"Georgia","Cobb","Short Term Acute Care Hospital","WellStar Kennestone Hospital",633,633,55,0.8163
"New York","Nassau","Short Term Acute Care Hospital","Mount Sinai South Nassau (FKA South Nassau Communities Hospital)",455,318,10,0.8162
"Colorado","Larimer","Long Term Acute Care Hospital","Northern Colorado Long Term Acute Hospital",20,20,4,0.8161
"Mississippi","Hinds","Short Term Acute Care Hospital","University Hospital (FKA the University of Mississippi Medical Center)",697,697,40,0.8161
"Louisiana","Rapides","Psychiatric Hospital","Oceans Behavioral Hospital Alexandria",24,24,0,0.8159
"New Jersey","Morris","Short Term Acute Care Hospital","Morristown Medical Center",657,620,44,0.8159
"Alabama","Jefferson","Short Term Acute Care Hospital","UAB Hospital",1157,1100,85,0.8155
"Nebraska","Lancaster","Rehabilitation Hospital","Madonna Rehabilitation Hospital - Lincoln",61,61,3,0.8152
"Georgia","Richmond","Short Term Acute Care Hospital","Doctors Hospital of Augusta",354,260,60,0.8147
"Maryland","Baltimore City","Short Term Acute Care Hospital","Levindale Hebrew Geriatric Center & Hospital",120,120,21,0.8147
"Ohio","Stark","Psychiatric Hospital","Heartland Behavioral Healthcare Hospital",126,126,0,0.8147
"Kentucky","Fayette","Short Term Acute Care Hospital","UK Albert B Chandler Hospital (AKA Kentucky Hospital)",524,524,146,0.8146
"New Jersey","Cumberland","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Vineland (FKA HealthSouth Rehabilitation Hospital of Vineland)",41,41,0,0.8143
"Georgia","Chatham","Long Term Acute Care Hospital","Landmark Hospital of Savannah",25,25,5,0.8142
"California","Sacramento","Long Term Acute Care Hospital","Vibra Hospital of Sacramento (FKA Kindred Hospital Sacramento)",58,58,11,0.8138
"Connecticut","Hartford","Short Term Acute Care Hospital","Hartford Hospital",867,702,84,0.8135
"Tennessee","Loudon","Short Term Acute Care Hospital","Fort Loudoun Medical Center",50,30,5,0.8135
"Connecticut","Middlesex","Psychiatric Hospital","Connecticut Valley Hospital",386,386,0,0.8134
"Alaska","Anchorage","Psychiatric Hospital","North Star Behavioral Health (FKA North Star Hospital)",74,104,0,0.8133
"Florida","Alachua","Rehabilitation Hospital","UF Health Rehab Hospital",60,40,0,0.8133
"Florida","St. Lucie","Psychiatric Hospital","Port St Lucie Hospital",75,75,0,0.8131
"Virginia","Fairfax","Psychiatric Hospital","Northern Virginia Mental Health Institute",94,94,0,0.8131
"California","Orange","Long Term Acute Care Hospital","Kindred Hospital - Brea",48,48,4,0.8127
"Florida","Herdo","Short Term Acute Care Hospital","Oak Hill Hospital",350,280,24,0.8127
"California","Mendocino","Critical Access Hospital","Adventist Health Howard Memorial (FKA Frank R Howard Memorial Hospital)",25,25,4,0.8124
"Connecticut","New Haven","Short Term Acute Care Hospital","Yale New Haven Hospital",581,581,88,0.8124
"Georgia","Bleckley","Critical Access Hospital","Bleckley Memorial Hospital",25,15,3,0.8124
"New Jersey","Somerset","Psychiatric Hospital","Hackensack Meridian Health Carrier Clinic",281,207,1,0.8122
"Colorado","Garfield","Short Term Acute Care Hospital","Valley View Hospital",78,41,5,0.8118
"Texas","Tarrant","Psychiatric Hospital","Millwood Hospital",134,134,0,0.8117
"Alabama","Jefferson","Psychiatric Hospital","Hill Crest Behavioral Health Services (FKA Hill Crest Hospital)",94,78,0,0.8114
"Mississippi","Rankin","Psychiatric Hospital","Mississippi State Hospital",1479,87,0,0.8114
"Michigan","Wayne","Short Term Acute Care Hospital","Beaumont Hospital - Dearborn (FKA Oakwood Hospital - Dearborn)",632,567,17,0.811
"Georgia","Hall","Short Term Acute Care Hospital","Northeast Georgia Medical Center Gainesville",657,542,85,0.8109
"Missouri","St. Louis","Rehabilitation Hospital","Mercy Rehabilitation Hospital St Louis (FKA St Johns Mercy Rehabilitation Hospi)",90,90,0,0.8107
"Pennsylvania","Philadelphia","Rehabilitation Hospital","Magee Rehabilitation Hospital",80,96,0,0.8107
"Oregon","Washington","Psychiatric Hospital","Cedar Hills Hospital",98,98,0,0.8105
"Kentucky","Jefferson","Psychiatric Hospital","The Brook Hospital - Dupont",88,68,0,0.8104
"Oklahoma","Tulsa","Psychiatric Hospital","Parkside Psychiatric Hospital & Clinic",51,70,0,0.8103
"Oklahoma","Oklahoma","Short Term Acute Care Hospital","Oklahoma Heart Hospital North",98,99,17,0.8102
"Kansas","Johnson","Psychiatric Hospital","Cottonwood Springs",72,72,0,0.8096
"Oregon","Multnomah","Short Term Acute Care Hospital","OHSU Hospital - Portland (AKA OHSU Hospital - Marquam Hill Campus)",576,549,79,0.8095
"Wisconsin","Waukesha","Rehabilitation Hospital","ProHealth Rehabilitation Hospital of Wisconsin",40,40,0,0.8095
"Maine","Kennebec","Psychiatric Hospital","Riverview Psychiatric Hospital",92,92,0,0.8094
"New Mexico","Bernalillo","Short Term Acute Care Hospital","University of New Mexico Hospital (AKA UNM Hospital)",527,451,48,0.8093
"Kansas","Lyon","Critical Access Hospital","Newman Regional Health",25,20,6,0.809
"Michigan","Oakland","Short Term Acute Care Hospital","Beaumont Hospital - Troy",520,495,56,0.8087
"Illinois","Cook","Long Term Acute Care Hospital","RML Specialty Hospital Hinsdale",115,184,19,0.8085
"California","San Francisco","Psychiatric Hospital","Jewish Home & Rehab Center (AKA San Francisco Campus for Jewish Living)",13,13,0,0.8084
"New Jersey","Mercer","Short Term Acute Care Hospital","Capital Health Medical Center - Hopewell",221,161,16,0.8084
"Arizona","Pima","Long Term Acute Care Hospital","Cornerstone Specialty Hospitals Tucson",34,34,6,0.8075
"California","San Bernardino","Psychiatric Hospital","Loma Linda University Behavioral Medicine Center",99,89,0,0.8068
"Florida","Broward","Religious Non-Medical Health Care Institution","Daystar (Christian Science Nursing)",4,4,0,0.8068
"California","Los Angeles","Psychiatric Hospital","Del Amo Hospital",166,166,0,0.8067
"Washington","Pierce","Short Term Acute Care Hospital","St Joseph Medical Center",366,374,82,0.8067
"Tennessee","Davidson","Psychiatric Hospital","Middle Tennessee Mental Health Institute",300,207,46,0.8065
"Texas","Harris","Rehabilitation Hospital","Memorial Hermann Rehabilitation Hospital - Katy",35,35,0,0.8065
"Massachusetts","Suffolk","Childrens Hospital","Boston Childrens Hospital",415,415,121,0.8063
"Tennessee","Davidson","Long Term Acute Care Hospital","Select Specialty Hospital - Nashville",70,70,11,0.806
"Missouri","St. Louis","Rehabilitation Hospital","SSM Health Rehabilitation Hospital - Richmond Heights",35,125,0,0.8057
"North Carolina","Orange","Short Term Acute Care Hospital","UNC Medical Center (FKA University of North Carolina Hospitals - Memorial Hospital)",923,812,32,0.8057
"Pennsylvania","Philadelphia","Childrens Hospital","Childrens Hospital of Philadelphia (AKA CHOP)",564,576,88,0.8057
"Colorado","Phillips","Critical Access Hospital","Haxtun Hospital District (AKA Haxtun Health)",25,25,4,0.8056
"California","Sacramento","Religious Non-Medical Health Care Institution","Olive Glen Foundation",6,6,0,0.8055
"Michigan","Ingham","Long Term Acute Care Hospital","Sparrow Specialty Hospital",30,30,5,0.8049
"Georgia","Polk","Critical Access Hospital","Polk Medical Center",25,25,4,0.8048
"California","Sonoma","Short Term Acute Care Hospital","Sutter Santa Rosa Regional Hospital (FKA Sutter Medical Center of Santa Rosa)",84,74,12,0.8046
"Texas","Comal","Rehabilitation Hospital","New Braunfels Regional Rehabilitation Hospital",40,40,2,0.8046
"New Jersey","Ocean","Psychiatric Hospital","Barnabas Health Behavioral Health Center",40,40,0,0.8043
"Rhode Island","Providence","Short Term Acute Care Hospital","Rhode Island Hospital",719,635,137,0.8041
"Texas","Tarrant","Short Term Acute Care Hospital","Medical City Fort Worth (FKA Plaza Medical Center of Fort Worth)",348,209,44,0.8041
"Illinois","Cook","Psychiatric Hospital","AMITA Health Alexian Brothers Behavioral Health Hospital Hoffman Estates",141,141,0,0.804
"Texas","Tarrant","Rehabilitation Hospital","Texas Rehabilitation Hospital of Arlington",40,40,0,0.804
"Michigan","Genesee","Long Term Acute Care Hospital","Select Specialty Hospital - Flint",26,26,5,0.8039
"Washington","Snohomish","Short Term Acute Care Hospital","Providence Regional Medical Center Everett - Colby Campus",501,495,49,0.8038
"Washington","Pierce","Short Term Acute Care Hospital","MultiCare Tacoma General Hospital",567,365,48,0.8035
"Michigan","Wayne","Short Term Acute Care Hospital","Henry Ford Hospital",877,693,128,0.8033
"Kansas","Washington","Critical Access Hospital","Hanover Hospital",25,119,4,0.8032
"New Mexico","Bernalillo","Short Term Acute Care Hospital","Presbyterian Hospital",453,453,47,0.8032
"New York","Orange","Short Term Acute Care Hospital","Garnet Health Medical Center (FKA Orange Regional Medical Center)",383,329,40,0.8029
"Tennessee","Davidson","Short Term Acute Care Hospital","TriStar Skyline Medical Center",233,233,45,0.8019
"Texas","Dallas","Short Term Acute Care Hospital","William P Clements Jr University Hospital (FKA UT Southwestern University Hospital - St Paul)",459,459,72,0.8018
"Washington","Benton","Psychiatric Hospital","Lourdes Counseling Center",32,22,0,0.8017
"Washington","Spokane","Psychiatric Hospital","Eastern State Hospital",297,342,0,0.8015
"Washington","Lincoln","Critical Access Hospital","Odessa Memorial Healthcare Center",25,25,4,0.8014
"Texas","Dallas","Psychiatric Hospital","Garland Behavioral Hospital",72,72,0,0.8013
"California","Los Angeles","Short Term Acute Care Hospital","LAC & USC Medical Center",600,594,148,0.8012
"New Mexico","Bernalillo","Long Term Acute Care Hospital","AMG Specialty Hospital - Albuquerque",25,25,6,0.8012
"Arizona","Maricopa","Psychiatric Hospital","Aurora Behavioral Health System - East (FKA Aurora Behavioral Healthcare - Tempe Hospital)",138,138,0,0.801
"Oklahoma","Tulsa","Psychiatric Hospital","Tulsa Center for Behavioral Health",56,56,0,0.8008
"Arizona","Maricopa","Short Term Acute Care Hospital","St Josephs Hospital and Medical Center",586,501,32,0.8007
"New York","Erie","Short Term Acute Care Hospital","Erie County Medical Center (AKA ECMC)",573,354,38,0.8005
"North Dakota","Cass","Psychiatric Hospital","Prairie St Johns",110,110,2,0.8005
"Illinois","DuPage","Short Term Acute Care Hospital","Edward Hospital (FKA Edward Heart Hospital)",354,294,25,0.8003
"Florida","Bay","Short Term Acute Care Hospital","Gulf Coast Regional Medical Center",223,223,20,0.8002
"Georgia","Fulton","Short Term Acute Care Hospital","Emory Johns Creek Hospital",110,110,14,0.8002
"Louisiana","Rapides","Psychiatric Hospital","Central Louisiana State Hospital (AKA Pineville Hospital)",196,148,0,0.8002
"Washington","Whatcom","Short Term Acute Care Hospital","PeaceHealth St Joseph Medical Center",253,207,24,0.8001
"Wyoming","Natrona","Psychiatric Hospital","Wyoming Behavioral Institute",85,85,0,0.8001
"Ohio","Summit","Rehabilitation Hospital","Summa Rehab Hospital",60,60,0,0.7999
"Ohio","Lorain","Psychiatric Hospital","ClearVista Health and Wellness",52,52,0,0.7998
"California","San Bernardino","Long Term Acute Care Hospital","Kindred Hospital - Ontario",91,91,7,0.7992
"Louisiana","Orleans","Short Term Acute Care Hospital","University Medical Center New Orleans (FKA Medical Center of Louisiana at New Orleans and Interim LSU Public Hospital)",446,306,56,0.7992
"Nevada","Clark","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Henderson (FKA Healthsouth Rehabilitation Hospital of Henderson)",90,90,3,0.7991
"New York","Westchester","Short Term Acute Care Hospital","St Johns Riverside Hospital - Andrus Pavilion",225,319,16,0.7991
"California","San Francisco","Short Term Acute Care Hospital","Zuckerberg San Francisco General Hospital (FKA San Francisco General Hospital)",284,284,58,0.7986
"South Carolina","Greenville","Psychiatric Hospital","Springbrook Behavioral Health",62,116,0,0.7986
"Tennessee","Knox","Short Term Acute Care Hospital","Fort Sanders Regional Medical Center",517,285,45,0.7986
"Massachusetts","Norfolk","Short Term Acute Care Hospital","South Shore Hospital",393,390,34,0.7985
"Texas","Collin","Short Term Acute Care Hospital","Medical City Plano (FKA Medical Center of Plano)",603,459,41,0.7984
"Washington","King","Short Term Acute Care Hospital","Virginia Mason Seattle Medical Center",371,220,28,0.7984
"Louisiana","East Baton Rouge","Rehabilitation Hospital","The NeuroMedical Center Rehabilitation Hospital",27,27,0,0.7983
"Pennsylvania","Blair","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Altoona (FKA Healthsouth Rehabilitation Hospital of Altoona)",80,80,0,0.7981
"Illinois","Cook","Short Term Acute Care Hospital","UChicago Medicine Mitchell Hospital (AKA Bernard A Mitchell Hospital)",805,678,87,0.7979
"North Dakota","Stutsman","Psychiatric Hospital","North Dakota State Hospital",140,108,0,0.7975
"New York","Nassau","Short Term Acute Care Hospital","Long Island Jewish Medical Center",1025,524,53,0.7974
"Tennessee","Shelby","Long Term Acute Care Hospital","Regional One Health Extended Care Hospital",24,30,5,0.7974
"California","Orange","Short Term Acute Care Hospital","UCI Medical Center (FKA UC Irvine Medical Center)",402,352,58,0.7973
"Pennsylvania","Bucks","Rehabilitation Hospital","St Mary Rehabilitation Hospital",50,50,0,0.7973
"Colorado","Arapahoe","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Littleton",40,60,0,0.7971
"Virginia","Norfolk","Short Term Acute Care Hospital","Sentara Norfolk General Hospital",525,471,60,0.7971
"District of Columbia","District of Columbia","Childrens Hospital","Childrens National Medical Center (AKA Childrens National Health System)",323,323,73,0.797
"Nebraska","Douglas","Short Term Acute Care Hospital","Nebraska Medical Center",718,568,73,0.7969
"Virginia","Loudoun","Short Term Acute Care Hospital","Inova Loudoun Hospital",167,153,23,0.7967
"Florida","Lee","Psychiatric Hospital","Park Royal Hospital",114,103,0,0.7961
"Texas","Harris","Psychiatric Hospital","Cypress Creek Hospital",128,128,0,0.7959
"Virginia","Arlington","Short Term Acute Care Hospital","Virginia Hospital Center - Arlington",394,305,32,0.7959
"Washington","Pierce","Short Term Acute Care Hospital","MultiCare Good Samaritan Hospital",286,313,20,0.7958
"Massachusetts","Plymouth","Short Term Acute Care Hospital","Beth Israel Deaconess Hospital - Plymouth",164,145,13,0.7957
"Kansas","Barber","Critical Access Hospital","Medicine Lodge Memorial Hospital",25,22,4,0.7955
"North Carolina","Pitt","Short Term Acute Care Hospital","Vidant Medical Center (FKA Pitt County Memorial Hospital)",974,847,71,0.7951
"North Carolina","Onslow","Psychiatric Hospital","Brynn Marr Hospital",84,84,0,0.795
"Ohio","Cuyahoga","Short Term Acute Care Hospital","Hillcrest Hospital",500,385,23,0.7948
"Oklahoma","Tulsa","Short Term Acute Care Hospital","Ascension St John Medical Center (FKA St John Medical Center)",677,495,63,0.7944
"Florida","Sumter","Long Term Acute Care Hospital","Select Specialty Hospital - The Villages (FKA Promise Hospital of Florida at the Villages)",40,40,6,0.7941
"Missouri","Greene","Long Term Acute Care Hospital","Select Specialty Hospital - Springfield",44,44,8,0.7941
"Texas","Harris","Psychiatric Hospital","Sacred Oak Medical Center",20,20,0,0.7933
"California","Fresno","Short Term Acute Care Hospital","Saint Agnes Medical Center",436,385,40,0.7932
"Kansas","Jewell","Critical Access Hospital","Jewell County Hospital",25,21,4,0.7932
"New York","Kings","Short Term Acute Care Hospital","NYC Health and Hospitals - Coney Island (FKA Coney Island Hospital)",371,292,22,0.7932
"Utah","Salt Lake","Short Term Acute Care Hospital","University of Utah Hospital",630,472,65,0.7931
"Georgia","Miller","Critical Access Hospital","Miller County Hospital",25,25,4,0.7923
"Arkansas","Pulaski","Rehabilitation Hospital","CHI St Vincent Rehabilitation Hospital - North (FKA St Vincent North Rehabilitation Hospital)",80,40,0,0.7922
"Washington","Benton","Short Term Acute Care Hospital","Kadlec Regional Medical Center (AKA Kadlec Health System)",270,248,30,0.7915
"Wisconsin","Racine","Long Term Acute Care Hospital","Lakeview Specialty Hospital & Rehab",39,39,6,0.7915
"California","Orange","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Tustin (FKA HealthSouth Tustin Rehabilitation Hospital)",48,48,0,0.7914
"Washington","King","Short Term Acute Care Hospital","Seattle Cancer Care Alliance",20,20,4,0.7914
"Montana","Lewis and Clark","Psychiatric Hospital","Shodair Childrens Hospital",30,30,0,0.7913
"New York","Bronx","Short Term Acute Care Hospital","BronxCare Hospital Center - Fulton Campus",170,454,31,0.7912
"Texas","Dallas","Rehabilitation Hospital","Mesquite Rehabilitation Institute",30,30,2,0.791
"California","Fresno","Rehabilitation Hospital","San Joaquin Valley Rehabilitation Hospital",62,62,0,0.7908
"Arizona","Pima","Psychiatric Hospital","Cornerstone Behavioral Health - El Dorado",36,36,0,0.7899
"California","San Diego","Short Term Acute Care Hospital","Sharp Chula Vista Medical Center",349,243,35,0.7899
"Minnesota","Pennington","Psychiatric Hospital","Sanford Behavioral Health Hospital",16,16,0,0.7899
"Nevada","Clark","Long Term Acute Care Hospital","PAM Specialty Hospital of Las Vegas (FKA Complex Care Hospital at Tenaya)",70,70,12,0.7899
"North Dakota","Cass","Long Term Acute Care Hospital","Vibra Hospital of Fargo (FKA Kindred Hospital Fargo)",31,31,7,0.7898
"Michigan","Wayne","Long Term Acute Care Hospital","Select Specialty Hospital - Downriver",35,71,11,0.7896
"Virginia","James City","Psychiatric Hospital","The Pavilion at Williamsburg Place",66,66,0,0.7896
"Michigan","Macomb","Psychiatric Hospital","Harbor Oaks Hospital",134,134,0,0.7893
"Connecticut","New Haven","Long Term Acute Care Hospital","Gaylord Hospital (AKA Gaylord Specialty Healthcare)",137,137,21,0.7892
"Nevada","Clark","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Las Vegas (FKA Healthsouth Rehabilitation Hospital of Las Vegas)",79,79,0,0.7892
"Maryland","Montgomery","Rehabilitation Hospital","Adventist HealthCare Rehabilitation - Rockville (FKA Adventist Rehabilitation Hospital - Rockville)",87,53,0,0.7891
"New Hampshire","Merrimack","Short Term Acute Care Hospital","Concord Hospital (AKA Capital Region Health Care)",295,206,18,0.7889
"New York","Albany","Short Term Acute Care Hospital","Albany Medical Center",748,740,65,0.7889
"California","Shasta","Long Term Acute Care Hospital","Vibra Hospital of Northern California (FKA Northern California Rehab Hospital)",56,56,9,0.7888
"Louisiana","East Baton Rouge","Psychiatric Hospital","Seaside Health System - Baton Rouge",64,64,0,0.7887
"Georgia","Bibb","Short Term Acute Care Hospital","The Medical Center Navicent Health (FKA Medical Center of Central Georgia)",637,619,77,0.7884
"Minnesota","Anoka","Psychiatric Hospital","Anoka-Metro Regional Treatment Center",200,200,0,0.7884
"Hawaii","Honolulu","Rehabilitation Hospital","Rehabilitation Hospital of the Pacific",82,82,0,0.7883
"Michigan","Kalamazoo","Psychiatric Hospital","Kalamazoo Psychiatric Hospital",183,183,0,0.7883
"Minnesota","Ramsey","Short Term Acute Care Hospital","M Health Fairview St Josephs Hospital (FKA HealthEast St Josephs Hospital)",401,197,48,0.7878
"New Jersey","Middlesex","Childrens Hospital","PSE&G Childrens Specialized Hospital",68,68,26,0.7878
"Vermont","Windsor","Critical Access Hospital","Mt Ascutney Hospital and Health Center",35,25,4,0.7878
"Florida","Miami-Dade","Short Term Acute Care Hospital","Aventura Hospital and Medical Center",407,351,77,0.7876
"New Jersey","Morris","Psychiatric Hospital","Greystone Park Psychiatric Hospital",468,468,0,0.7876
"New Jersey","Essex","Rehabilitation Hospital","Kessler Institute for Rehabilitation - West Orange",152,152,0,0.7875
"Texas","Montgomery","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital Vision Park (FKA Reliant Hospital North Houston)",60,60,0,0.7875
"Washington","Grays Harbor","Short Term Acute Care Hospital","Grays Harbor Community Hospital - West/Main Campus",140,49,8,0.7873
"Wisconsin","Milwaukee","Short Term Acute Care Hospital","Ascension SE Wisconsin Hospital - Franklin Campus (FKA Ascension Wheaton Franciscan Healthcare - Franklin)",52,44,8,0.7873
"Texas","Tarrant","Short Term Acute Care Hospital","Texas Health Fort Worth (FKA Texas Health Harris Methodist Hospital Fort Worth)",707,651,42,0.787
"California","Orange","Long Term Acute Care Hospital","Kindred Hospital - Westminster",109,109,16,0.7869
"New York","Suffolk","Short Term Acute Care Hospital","Peconic Bay Medical Center",140,124,10,0.7868
"Arizona","Maricopa","Short Term Acute Care Hospital","Chandler Regional Medical Center",338,96,49,0.7866
"Texas","Collin","Short Term Acute Care Hospital","Methodist Richardson Medical Center",269,172,25,0.7864
"California","Alameda","Long Term Acute Care Hospital","Kindred Hospital - San Francisco Bay Area",99,99,10,0.7856
"California","San Diego","Short Term Acute Care Hospital","UC San Diego Medical Center - Hillcrest",390,381,58,0.7851
"Ohio","Cuyahoga","Short Term Acute Care Hospital","Cleveland Clinic Main Campus",1268,1310,213,0.7851
"Nebraska","Lancaster","Long Term Acute Care Hospital","Select Specialty Hospital - Lincoln",24,24,6,0.7846
"Texas","Bexar","Short Term Acute Care Hospital","University Hospital (AKA University Health)",1034,623,64,0.7846
"Georgia","DeKalb","Psychiatric Hospital","Peachford Hospital",246,246,0,0.7845
"Arizona","Maricopa","Short Term Acute Care Hospital","Banner - University Medical Center Phoenix (FKA Banner Good Samaritan Medical Center)",766,656,46,0.7841
"Florida","Hillsborough","Short Term Acute Care Hospital","Moffitt Cancer Center (AKA H Lee Moffitt Cancer Center & Research Institute)",218,206,30,0.7839
"Iowa","Webster","Short Term Acute Care Hospital","Trinity Regional Medical Center",200,40,8,0.7836
"Texas","Tarrant","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of City View (FKA Healthsouth Rehab of Cityview)",62,62,0,0.7835
"South Carolina","Anderson","Rehabilitation Hospital","AnMed Health Rehabilitation Hospital",60,60,0,0.7829
"Georgia","DeKalb","Long Term Acute Care Hospital","Emory Long-Term Acute Care (FKA DeKalb Medical Long Term Acute Care at Downtown Decatur)",76,38,6,0.7828
"Maryland","Montgomery","Psychiatric Hospital","Adventist HealthCare Shady Grove Medical Center - Mental Health",329,185,27,0.7828
"Arkansas","Sebastian","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Fort Smith (FKA HealthSouth Rehabilitation Hospital of Fort Smith)",80,60,0,0.7827
"Pennsylvania","Philadelphia","Short Term Acute Care Hospital","Girard Medical Center",51,51,9,0.7827
"Texas","Travis","Long Term Acute Care Hospital","Texas NeuroRehab Center",47,49,7,0.7827
"Virginia","Fairfax","Short Term Acute Care Hospital","Inova Fairfax Hospital (AKA Inova Fairfax Medical Campus)",923,833,106,0.7824
"Georgia","Bartow","Short Term Acute Care Hospital","Cartersville Medical Center",119,119,21,0.7823
"Maine","Kennebec","Short Term Acute Care Hospital","MaineGeneral Medical Center - Alfond Center for Health (FKA Augusta Campus)",287,182,16,0.7823
"Virginia","Fairfax","Psychiatric Hospital","Dominion Hospital",116,116,0,0.7818
"New Jersey","Camden","Psychiatric Hospital","Ancora Psychiatric Hospital",515,515,0,0.7811
"Michigan","Clinton","Psychiatric Hospital","Cedar Creek Hospital",41,41,0,0.781
"Texas","Denton","Psychiatric Hospital","Carrollton Springs",78,78,0,0.7807
"Texas","Lubbock","Psychiatric Hospital","Sunrise Canyon Hospital",30,30,0,0.7807
"Florida","Collier","Psychiatric Hospital","The Willough at Naples",87,87,0,0.7805
"Florida","St. Lucie","Short Term Acute Care Hospital","Lawnwood Regional Medical Center & Heart Institute",392,312,36,0.7805
"Florida","Alachua","Short Term Acute Care Hospital","UF Health Shands Hospital (FKA Shands at the University of Florida)",1014,742,170,0.78
"Tennessee","Hardeman","Psychiatric Hospital","Western Mental Health Institute",187,150,0,0.78
"New York","Queens","Short Term Acute Care Hospital","NYC Health and Hospitals - Elmhurst (FKA Elmhurst Hospital Center)",545,358,20,0.7799
"Utah","Salt Lake","Psychiatric Hospital","UU Health Care - University Neuropsychiatric Institute",178,160,0,0.7797
"North Carolina","Mecklenburg","Short Term Acute Care Hospital","Atrium Health Carolinas Medical Center",1211,1124,78,0.7793
"Texas","Angelina","Psychiatric Hospital","Oceans Behavioral Hospital Lufkin (FKA Audubon Behavioral Healthcare Lufkin)",24,24,0,0.7788
"Kentucky","Allen","Critical Access Hospital","The Medical Center at Scottsville",25,25,4,0.7783
"Nevada","Clark","Short Term Acute Care Hospital","Dignity Health St Rose Dominican - Siena Campus",326,326,50,0.7783
"Virginia","Chesterfield","Short Term Acute Care Hospital","St Francis Medical Center",130,130,16,0.7776
"Virginia","Prince William","Short Term Acute Care Hospital","Sentara Northern Virginia Medical Center (FKA Potomac Hospital)",183,147,16,0.7775
"Iowa","Polk","Short Term Acute Care Hospital","Iowa Methodist Medical Center",460,600,36,0.7772
"Florida","Broward","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Sunrise (FKA Healthsouth Sunrise Rehab Hospital)",126,126,0,0.777
"Texas","Harris","Short Term Acute Care Hospital","HCA Houston Healthcare Clear Lake (FKA Clear Lake Regional Medical Center)",532,506,86,0.777
"Texas","Bexar","Psychiatric Hospital","San Antonio State Hospital",302,302,0,0.7769
"North Carolina","Mecklenburg","Rehabilitation Hospital","Carolinas Rehabilitation - Charlotte",70,150,1,0.7768
"Massachusetts","Hampden","Short Term Acute Care Hospital","Baystate Medical Center",724,705,32,0.7767
"Alabama","Mobile","Short Term Acute Care Hospital","Springhill Medical Center",263,188,20,0.7766
"California","Sonoma","Psychiatric Hospital","Aurora Santa Rosa Hospital",95,95,0,0.7764
"Ohio","Franklin","Short Term Acute Care Hospital","Ohio State University Wexner Medical Center (AKA Ohio State University Hospital)",1106,982,97,0.7761
"California","Placer","Short Term Acute Care Hospital","Sutter Roseville Medical Center",328,264,32,0.7753
"Maryland","Baltimore","Short Term Acute Care Hospital","Greater Baltimore Medical Center (AKA GBMC HealthCare)",257,82,24,0.7751
"Louisiana","East Baton Rouge","Long Term Acute Care Hospital","AMG Specialty Hospital - Zachary (FKA AMG Specialty Hospital - Feliciana)",16,16,4,0.775
"Washington","King","Short Term Acute Care Hospital","Swedish Medical Center - Cherry Hill Campus (FKA Providence Seattle Medical Center)",385,181,56,0.7749
"California","Riverside","Short Term Acute Care Hospital","Temecula Valley Hospital",140,140,20,0.7746
"New York","Kings","Short Term Acute Care Hospital","Brooklyn Hospital Center at Downtown Campus",464,272,12,0.7746
"North Dakota","Cass","Short Term Acute Care Hospital","Sanford Broadway Medical Center",380,468,67,0.7746
"Texas","Hays","Rehabilitation Hospital","Warm Springs Rehabilitation Hospital of Kyle (AKA PAM Rehabilitation Hospital of Kyle)",40,40,0,0.7743
"Texas","Grayson","Long Term Acute Care Hospital","Carrus Specialty Hospital",33,33,9,0.7742
"Tennessee","Hamilton","Short Term Acute Care Hospital","Erlanger Baroness Hospital (FKA Erlanger Medical Center - Baroness Campus)",688,680,102,0.774
"Texas","Hidalgo","Short Term Acute Care Hospital","Doctors Hospital at Renaissance Health (AKA DHR Health)",235,235,58,0.774
"Virginia","Hanover","Short Term Acute Care Hospital","Memorial Regional Medical Center",225,225,24,0.7739
"Florida","Lake","Psychiatric Hospital","LifeStream Behavioral Center",46,66,20,0.7736
"North Carolina","Mecklenburg","Short Term Acute Care Hospital","Novant Health Presbyterian Medical Center (FKA Presbyterian Hospital)",624,521,40,0.7736
"California","San Bernardino","Short Term Acute Care Hospital","Desert Valley Hospital",148,148,18,0.7728
"Tennessee","Putnam","Short Term Acute Care Hospital","Cookeville Regional Medical Center",247,211,38,0.7728
"Tennessee","Rutherford","Short Term Acute Care Hospital","Ascension Saint Thomas Rutherford (FKA Middle Tennessee Medical Center)",286,285,68,0.7725
"Florida","Orange","Psychiatric Hospital","Central Florida Behavioral Hospital",174,174,2,0.7723
